timestamp,underlyer,tri,spot,carry,active,version
2000-07-10 19:00:00,JPY,-6.963424134769767,-3.578878387910266,-6.432524547285539,True,v2
2000-07-11 19:00:00,JPY,-6.7472208868309025,-3.347824783474044,-6.447384465304822,True,v2
2000-07-12 19:00:00,JPY,-7.704204929589565,-4.23644086544202,-6.3943501231210575,True,v2
2000-07-13 19:00:00,JPY,-7.33864207836379,-3.854421375812483,-6.482736397154554,True,v2
2000-07-14 19:00:00,JPY,-7.943373991130073,-4.434961957107013,-6.473371154861525,True,v2
2000-07-17 19:00:00,JPY,-8.372473795966258,-4.843948875626386,-6.483492189634035,True,v2
2000-07-18 19:00:00,JPY,-7.816793384650538,-4.214921530409853,-6.5239136836464695,True,v2
2000-07-19 19:00:00,JPY,-8.416414162157565,-4.791725421781987,-6.5617057067868245,True,v2
2000-07-20 19:00:00,JPY,-8.236346957985916,-4.612046961560537,-6.550146110160995,True,v2
2000-07-21 19:00:00,JPY,-8.810041892738653,-5.171918616713276,-6.403006900426931,True,v2
2000-07-24 19:00:00,JPY,-9.037269584525163,-5.379159926814417,-6.484924510550627,True,v2
2000-07-25 19:00:00,JPY,-9.031531728712665,-5.354882529538157,-6.4976995094014,True,v2
2000-07-26 19:00:00,JPY,-9.159204137374772,-5.429992628814115,-6.4858246483504445,True,v2
2000-07-27 19:00:00,JPY,-9.23320188651681,-5.487341970229194,-6.471618781679922,True,v2
2000-07-28 19:00:00,JPY,-9.56544615005194,-5.8043198050196105,-6.474107056973253,True,v2
2000-07-31 19:00:00,JPY,-9.579001031939057,-5.798742171330703,-6.4976698843719305,True,v2
2000-08-01 19:00:00,JPY,-9.87148995642103,-6.024127204095017,-6.4804942849741565,True,v2
2000-08-02 19:00:00,JPY,-9.416173006525355,-5.5614877833027885,-6.4892507140075395,True,v2
2000-08-03 19:00:00,JPY,-8.627395598371763,-4.746562676564032,-6.490719528965201,True,v2
2000-08-04 19:00:00,JPY,-8.917243084230336,-5.021049886677922,-6.4648103699204285,True,v2
2000-08-07 19:00:00,JPY,-9.174810403895208,-5.264962582754275,-6.427493739177521,True,v2
2000-08-08 19:00:00,JPY,-9.06084097943237,-5.137001883298174,-6.369364278293688,True,v2
2000-08-09 19:00:00,JPY,-8.434970188000605,-4.455625847573619,-6.350367119897555,True,v2
2000-08-10 19:00:00,JPY,-8.624496375301078,-4.630315790558394,-6.317791221070479,True,v2
2000-08-11 19:00:00,JPY,-9.13059510851788,-5.12000036163402,-6.321506032998627,True,v2
2000-08-14 19:00:00,JPY,-9.645822469017574,-5.622356172945642,-6.30849173260799,True,v2
2000-08-15 19:00:00,JPY,-9.801169839931063,-5.760441116107633,-6.332166108245474,True,v2
2000-08-16 19:00:00,JPY,-9.155673009899786,-5.053429527672675,-6.332620015135149,True,v2
2000-08-17 19:00:00,JPY,-9.087074896879642,-4.967202835825303,-6.339841688143224,True,v2
2000-08-18 19:00:00,JPY,-9.29459018961991,-5.1608372222989525,-6.307446883797638,True,v2
2000-08-21 19:00:00,JPY,-8.872187411041992,-4.705085113858142,-6.267849262743539,True,v2
2000-08-22 19:00:00,JPY,-9.128902443081117,-4.958160685035656,-6.32305725683409,True,v2
2000-08-23 19:00:00,JPY,-8.066441183161388,-3.8397567800999948,-6.269896742261949,True,v2
2000-08-24 19:00:00,JPY,-8.15792778629475,-3.9155233244352603,-6.2418195707289215,True,v2
2000-08-25 19:00:00,JPY,-7.954738658331692,-3.6972189797042216,-6.234831068817357,True,v2
2000-08-28 19:00:00,JPY,-7.351193656237285,-3.0812466745830602,-6.2205686879883615,True,v2
2000-08-29 19:00:00,JPY,-7.5770027382602905,-3.303266675440652,-6.253588541054569,True,v2
2000-08-30 19:00:00,JPY,-7.334174425956121,-3.0453266608240415,-6.223876149070975,True,v2
